country,date,total_cases,total_deaths,death_percentage
China,2021-02-14,101536,4838,4.765
China,2021-02-15,101561,4838,4.764
China,2021-02-16,101576,4838,4.763
China,2021-02-17,101604,4840,4.764
China,2021-02-18,101624,4842,4.765
China,2021-02-19,101646,4842,4.764
China,2021-02-20,101669,4842,4.763
China,2021-02-21,101700,4842,4.761
China,2021-02-22,101726,4842,4.760
China,2021-02-23,101750,4842,4.759
China,2021-02-24,101778,4842,4.757
China,2021-02-25,101802,4843,4.757
China,2021-02-26,101836,4843,4.756
China,2021-02-27,101878,4843,4.754
China,2021-02-28,101920,4843,4.752
China,2021-03-01,101945,4844,4.752
China,2021-03-02,101968,4845,4.751
China,2021-03-03,101995,4845,4.750
China,2021-03-04,102015,4845,4.749
China,2021-03-05,102036,4846,4.749
China,2021-03-06,102064,4846,4.748
China,2021-03-07,102101,4848,4.748
China,2021-03-08,102125,4848,4.747
China,2021-03-09,102152,4848,4.746
China,2021-03-10,102172,4848,4.745
China,2021-03-11,102203,4849,4.744
China,2021-03-12,102276,4849,4.741
China,2021-03-13,102333,4849,4.738
China,2021-03-14,102363,4849,4.737
China,2021-03-15,102411,4849,4.735
China,2021-03-16,102433,4849,4.734
China,2021-03-17,102450,4849,4.733
China,2021-03-18,102479,4849,4.732
China,2021-03-19,102502,4849,4.731
China,2021-03-20,102523,4849,4.730
China,2021-03-21,102539,4849,4.729
China,2021-03-22,102566,4849,4.728
China,2021-03-23,102589,4849,4.727
China,2021-03-24,102612,4850,4.727
China,2021-03-25,102635,4850,4.725
China,2021-03-26,102659,4850,4.724
China,2021-03-27,102680,4851,4.724
China,2021-03-28,102698,4851,4.724
China,2021-03-29,102715,4851,4.723
China,2021-03-30,102734,4851,4.722
China,2021-03-31,102762,4851,4.721
China,2021-04-01,102790,4851,4.719
China,2021-04-02,102838,4851,4.717
China,2021-04-03,102867,4851,4.716
China,2021-04-04,102908,4851,4.714
China,2021-04-05,102949,4851,4.712
China,2021-04-06,102970,4851,4.711
China,2021-04-07,103003,4851,4.710
China,2021-04-08,103034,4851,4.708
China,2021-04-09,103066,4851,4.707
China,2021-04-10,103083,4853,4.708
China,2021-04-11,103113,4853,4.706
China,2021-04-12,103136,4854,4.706
China,2021-04-13,103165,4854,4.705
China,2021-04-14,103185,4855,4.705
China,2021-04-15,103203,4856,4.705
China,2021-04-16,103237,4856,4.704
China,2021-04-17,103273,4856,4.702
China,2021-04-18,103315,4856,4.700
China,2021-04-19,103340,4856,4.699
China,2021-04-20,103371,4856,4.698
China,2021-04-21,103382,4856,4.697
China,2021-04-22,103419,4856,4.695
China,2021-04-23,103441,4856,4.694
China,2021-04-24,103464,4856,4.693
China,2021-04-25,103484,4856,4.693
China,2021-04-26,103503,4857,4.693
China,2021-04-27,103529,4857,4.691
China,2021-04-28,103562,4857,4.690
China,2021-04-29,103595,4857,4.688
China,2021-04-30,103622,4857,4.687
China,2021-05-01,103649,4858,4.687
China,2021-05-02,103667,4858,4.686
China,2021-05-03,103694,4858,4.685
China,2021-05-04,103713,4858,4.684
China,2021-05-05,103731,4858,4.683
China,2021-05-06,103759,4858,4.682
China,2021-05-07,103773,4858,4.681
China,2021-05-08,103795,4858,4.680
China,2021-05-09,103808,4858,4.680
China,2021-05-10,103841,4858,4.678
China,2021-05-11,103869,4858,4.677
China,2021-05-12,103901,4858,4.676
China,2021-05-13,103936,4858,4.674
China,2021-05-14,103985,4858,4.672
China,2021-05-15,104191,4858,4.663
China,2021-05-16,104425,4858,4.652
China,2021-05-17,104782,4858,4.636
China,2021-05-18,105040,4860,4.627
China,2021-05-19,105326,4860,4.614
China,2021-05-20,105645,4861,4.601
China,2021-05-21,105971,4861,4.587
China,2021-05-22,106713,4863,4.557
China,2021-05-23,107187,4869,4.543
China,2021-05-24,107798,4875,4.522
China,2021-05-25,108356,4881,4.505
China,2021-05-26,109010,4892,4.488
China,2021-05-27,109688,4905,4.472
China,2021-05-28,110260,4924,4.466
China,2021-05-29,110764,4945,4.464
China,2021-05-30,111146,4955,4.458
China,2021-05-31,111523,4970,4.456
China,2021-06-01,111884,4983,4.454
China,2021-06-02,112457,4995,4.442
China,2021-06-03,113066,5012,4.433
China,2021-06-04,113564,5033,4.432
China,2021-06-05,114105,5070,4.443
China,2021-06-06,114667,5106,4.453
China,2021-06-07,114691,5132,4.475
China,2021-06-08,114928,5154,4.485
China,2021-06-09,115217,5179,4.495
China,2021-06-10,115498,5207,4.508
China,2021-06-11,115815,5231,4.517
China,2021-06-12,116103,5257,4.528
China,2021-06-13,116301,5283,4.543
China,2021-06-14,116507,5298,4.547
China,2021-06-15,116663,5306,4.548
China,2021-06-16,116853,5324,4.556
China,2021-06-17,117050,5343,4.565
China,2021-06-18,117269,5364,4.574
China,2021-06-19,117421,5384,4.585
China,2021-06-20,117548,5395,4.590
China,2021-06-21,117649,5415,4.603
China,2021-06-22,117758,5421,4.604
China,2021-06-23,117879,5445,4.619
China,2021-06-24,118040,5451,4.618
China,2021-06-25,118145,5456,4.618
China,2021-06-26,118241,5469,4.625
China,2021-06-27,118358,5478,4.628
China,2021-06-28,118439,5481,4.628
China,2021-06-29,118503,5490,4.633
China,2021-06-30,118572,5495,4.634
China,2021-07-01,118644,5508,4.642
China,2021-07-02,118736,5523,4.651
China,2021-07-03,118832,5533,4.656
China,2021-07-04,118896,5535,4.655
China,2021-07-05,118949,5537,4.655
China,2021-07-06,119036,5554,4.666
China,2021-07-07,119094,5563,4.671
China,2021-07-08,119141,5566,4.672
China,2021-07-09,119204,5578,4.679
China,2021-07-10,119262,5584,4.682
China,2021-07-11,119321,5588,4.683
China,2021-07-12,119374,5589,4.682
China,2021-07-13,119427,5595,4.685
China,2021-07-14,119485,5601,4.688
China,2021-07-15,119539,5607,4.691
China,2021-07-16,119602,5611,4.691
China,2021-07-17,119647,5612,4.690
China,2021-07-18,119698,5616,4.692
China,2021-07-19,119784,5617,4.689
China,2021-07-20,119837,5621,4.691
China,2021-07-21,119918,5626,4.692
China,2021-07-22,120000,5630,4.692
China,2021-07-23,120061,5632,4.691
China,2021-07-24,120120,5634,4.690
China,2021-07-25,120213,5634,4.687
China,2021-07-26,120295,5634,4.683
China,2021-07-27,120399,5635,4.680
China,2021-07-28,120469,5635,4.678
China,2021-07-29,120553,5635,4.674
China,2021-07-30,120635,5635,4.671
China,2021-07-31,120722,5635,4.668
China,2021-08-01,120837,5637,4.665
China,2021-08-02,120944,5637,4.661
China,2021-08-03,121067,5639,4.658
China,2021-08-04,121175,5639,4.654
China,2021-08-05,121316,5639,4.648
China,2021-08-06,121437,5642,4.646
China,2021-08-07,121550,5654,4.652
China,2021-08-08,121684,5657,4.649
China,2021-08-09,121837,5661,4.646
China,2021-08-10,121960,5662,4.643
China,2021-08-11,122058,5664,4.640
China,2021-08-12,122168,5665,4.637
China,2021-08-13,122255,5667,4.635
China,2021-08-14,122317,5669,4.635
China,2021-08-15,122378,5669,4.632
China,2021-08-16,122433,5669,4.630
China,2021-08-17,122482,5669,4.628
China,2021-08-18,122542,5669,4.626
China,2021-08-19,122586,5674,4.629
China,2021-08-20,122617,5675,4.628
China,2021-08-21,122662,5676,4.627
China,2021-08-22,122698,5676,4.626
China,2021-08-23,122744,5676,4.624
China,2021-08-24,122777,5677,4.624
China,2021-08-25,122809,5678,4.623
China,2021-08-26,122852,5680,4.623
China,2021-08-27,122897,5681,4.623
China,2021-08-28,122942,5681,4.621
China,2021-08-29,122995,5682,4.620
China,2021-08-30,123043,5682,4.618
China,2021-08-31,123068,5683,4.618
China,2021-09-01,123103,5684,4.617
China,2021-09-02,123131,5685,4.617
China,2021-09-03,123169,5685,4.616
China,2021-09-04,123199,5685,4.614
China,2021-09-05,123231,5685,4.613
China,2021-09-06,123285,5685,4.611
China,2021-09-07,123322,5685,4.610
China,2021-09-08,123361,5685,4.608
China,2021-09-09,123386,5686,4.608
China,2021-09-10,123423,5687,4.608
China,2021-09-11,123478,5687,4.606
China,2021-09-12,123544,5687,4.603
China,2021-09-13,123642,5688,4.600
China,2021-09-14,123722,5688,4.597
China,2021-09-15,123808,5688,4.594
China,2021-09-16,123904,5688,4.591
China,2021-09-17,123961,5688,4.589
China,2021-09-18,124038,5688,4.586
China,2021-09-19,124102,5689,4.584
China,2021-09-20,124185,5689,4.581
China,2021-09-21,124232,5689,4.579
China,2021-09-22,124283,5690,4.578
China,2021-09-23,124348,5690,4.576
China,2021-09-24,124401,5690,4.574
China,2021-09-25,124444,5690,4.572
China,2021-09-26,124495,5690,4.570
China,2021-09-27,124538,5691,4.570
China,2021-09-28,124591,5691,4.568
China,2021-09-29,124629,5691,4.566
China,2021-09-30,124673,5691,4.565
China,2021-10-01,124729,5692,4.563
China,2021-10-02,124772,5692,4.562
China,2021-10-03,124805,5692,4.561
China,2021-10-04,124843,5693,4.560
China,2021-10-05,124884,5693,4.559
China,2021-10-06,124920,5693,4.557
China,2021-10-07,124954,5693,4.556
China,2021-10-08,124987,5694,4.556
China,2021-10-09,125023,5695,4.555
China,2021-10-10,125055,5695,4.554
China,2021-10-11,125085,5695,4.553
China,2021-10-12,125115,5695,4.552
China,2021-10-13,125143,5695,4.551
China,2021-10-14,125162,5695,4.550
China,2021-10-15,125189,5695,4.549
China,2021-10-16,125226,5695,4.548
China,2021-10-17,125254,5695,4.547
China,2021-10-18,125284,5695,4.546
China,2021-10-19,125322,5695,4.544
China,2021-10-20,125351,5695,4.543
China,2021-10-21,125402,5695,4.541
China,2021-10-22,125462,5695,4.539
China,2021-10-23,125518,5695,4.537
China,2021-10-24,125565,5695,4.535
China,2021-10-25,125620,5696,4.534
China,2021-10-26,125686,5696,4.532
China,2021-10-27,125738,5696,4.530
China,2021-10-28,125810,5696,4.527
China,2021-10-29,125898,5696,4.524
China,2021-10-30,125979,5696,4.521
China,2021-10-31,126078,5696,4.518
China,2021-11-01,126155,5696,4.515
China,2021-11-02,126270,5696,4.511
China,2021-11-03,126384,5696,4.507
China,2021-11-04,126471,5696,4.504
China,2021-11-05,126534,5696,4.502
China,2021-11-06,126616,5696,4.499
China,2021-11-07,126710,5696,4.495
China,2021-11-08,126775,5696,4.493
China,2021-11-09,126836,5697,4.492
China,2021-11-10,126908,5697,4.489
China,2021-11-11,127018,5697,4.485
China,2021-11-12,127104,5697,4.482
China,2021-11-13,127199,5697,4.479
China,2021-11-14,127260,5697,4.477
China,2021-11-15,127297,5697,4.475
China,2021-11-16,127331,5697,4.474
China,2021-11-17,127374,5697,4.473
China,2021-11-18,127405,5697,4.472
China,2021-11-19,127439,5697,4.470
China,2021-11-20,127463,5697,4.470
China,2021-11-21,127512,5697,4.468
China,2021-11-22,127537,5697,4.467
China,2021-11-23,127572,5697,4.466
China,2021-11-24,127602,5697,4.465
China,2021-11-25,127631,5697,4.464
China,2021-11-26,127672,5697,4.462
China,2021-11-27,127710,5697,4.461
China,2021-11-28,127764,5697,4.459
China,2021-11-29,127814,5697,4.457
China,2021-11-30,127938,5697,4.453
China,2021-12-01,128022,5697,4.450
China,2021-12-02,128141,5697,4.446
China,2021-12-03,128245,5697,4.442
China,2021-12-04,128319,5697,4.440
China,2021-12-05,128393,5697,4.437
China,2021-12-06,128502,5697,4.433
China,2021-12-07,128602,5697,4.430
China,2021-12-08,128690,5697,4.427
China,2021-12-09,128777,5697,4.424
China,2021-12-10,128884,5697,4.420
China,2021-12-11,128970,5697,4.417
China,2021-12-12,129082,5697,4.413
China,2021-12-13,129165,5697,4.411
China,2021-12-14,129247,5697,4.408
China,2021-12-15,129332,5698,4.406
China,2021-12-16,129430,5698,4.402
China,2021-12-17,129577,5698,4.397
China,2021-12-18,129678,5698,4.394
China,2021-12-19,129794,5699,4.391
China,2021-12-20,129893,5699,4.387
China,2021-12-21,129988,5699,4.384
China,2021-12-22,130109,5699,4.380
China,2021-12-23,130211,5699,4.377
China,2021-12-24,130376,5699,4.371
China,2021-12-25,130625,5699,4.363
China,2021-12-26,130858,5699,4.355
China,2021-12-27,131093,5699,4.347
China,2021-12-28,131315,5699,4.340
